"chuva";"dia"
"18,6";"2022-04-01"
"2,2";"2022-04-02"
"0,4";"2022-04-03"
"1";"2022-04-04"
"5";"2022-04-05"
"0";"2022-04-06"
"4,4";"2022-04-07"
"3,8";"2022-04-08"
"0";"2022-04-09"
"3,4";"2022-04-10"
"0";"2022-04-11"
"0";"2022-04-12"
"0";"2022-04-13"
"0";"2022-04-14"
"0";"2022-04-15"
"0";"2022-04-16"
"3,8";"2022-04-17"
"6,4";"2022-04-18"
"2,8";"2022-04-19"
"0,6";"2022-04-20"
"10,2";"2022-04-21"
"0,6";"2022-04-22"
"12";"2022-04-23"
"1,4";"2022-04-24"
"4";"2022-04-25"
"2";"2022-04-26"
"3,6";"2022-04-27"
"15,6";"2022-04-28"
"1,6";"2022-04-29"
"23,6";"2022-04-30"
