"chuva";"dia"
"32,6";"2022-04-01"
"0,2";"2022-04-02"
"0";"2022-04-03"
"2,4";"2022-04-04"
"2,2";"2022-04-05"
"0";"2022-04-06"
"8,4";"2022-04-07"
"0,4";"2022-04-08"
"0";"2022-04-09"
"0,4";"2022-04-10"
"0";"2022-04-11"
"0";"2022-04-12"
"0";"2022-04-13"
"0";"2022-04-14"
"0";"2022-04-15"
"0";"2022-04-16"
"5";"2022-04-17"
"1,4";"2022-04-18"
"2,8";"2022-04-19"
"4,6";"2022-04-20"
"13,6";"2022-04-21"
"1";"2022-04-22"
"11,2";"2022-04-23"
"0,2";"2022-04-24"
"3,2";"2022-04-25"
"1,2";"2022-04-26"
"2,2";"2022-04-27"
"15,6";"2022-04-28"
"2,4";"2022-04-29"
"9,2";"2022-04-30"
