"chuva";"dia"
"61,2";"2022-04-01"
"3,4";"2022-04-02"
"0";"2022-04-03"
"0,4";"2022-04-04"
"9,2";"2022-04-05"
"0";"2022-04-06"
"1,4";"2022-04-07"
"0";"2022-04-08"
"0";"2022-04-09"
"2,6";"2022-04-10"
"0";"2022-04-11"
"0";"2022-04-12"
"0";"2022-04-13"
"0";"2022-04-14"
"0";"2022-04-15"
"0";"2022-04-16"
"2,2";"2022-04-17"
"12,6";"2022-04-18"
"2";"2022-04-19"
"11,4";"2022-04-20"
"18";"2022-04-21"
"6,2";"2022-04-22"
"11";"2022-04-23"
"2,6";"2022-04-24"
"11,6";"2022-04-25"
"0";"2022-04-26"
"12";"2022-04-27"
"29,2";"2022-04-28"
"6,2";"2022-04-29"
"17,2";"2022-04-30"
